Genome Name,CheA
"Wastewater treatment Type I Accumulibacter community from EBPR Bioreactor in Madison, WI, USA - TNR Reactor_6/25/2014_ DNA",1111
"Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  SI073_LV_120m_DNA (Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  SI073_LV_120m_DNA, ASSEMBLY_DATE=20141005)",1490
"Human stool microbial communities from NIH, USA - visit 1, subject 764447348",18
"Nasutitermes corniger crop microbial communities from Max Planck Institute, Germany - Nc150C (Termite gut Nc150C, ASSEMBLY_DATE=20130618)",515
"Lotic sediment microbial communities from Taif River, Saudi Arabia - Downstream of discharge Sample CS4-50",171
Deep ocean microbial communities from the Global Malaspina Expedition - Deep seawater metaT MP1603 (Metagenome Metatranscriptome),165
"Forest soil microbial communities from Amazon forest - Pasture72 2010 replicate I A100 (Amazon Pasture72 2010 replicate I A100, April 2012 Assem)",31197
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 49_LOW8,90
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Met_20_2_8_1 metaT (Metagenome Metatranscriptome)",16
"Human fecal microbial communities from the University of Tokyo - healthy human sample F2-Y, Child, Female (Healthy human gut microbiome - Hu-FY)",1
Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG DeepMed_s17,124
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C37_LANv2",4
Arabidopsis rhizosphere microbial communities from New York and Illinois - plate scrape MF_Col_mMS_r2,782
"Grasslands soil microbial communities from Kansas, USA, that are Nitrogen fertilized - NN581 (Forest Soil microbial communities with Nitrogen NN581, ASSEMBLY_DATE=20130220)",501
"Fresh water microbial communities from LaBonte Lake, Laramie, Wyoming, sample from pre-bloom (pre-bloom)",35
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF023 (Microbial Forest Soil BW C19_O, ASSEMBLY_DATE=20130725)",1585
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 1 (Metagenome Metatranscriptome)",104
"Human supragingival plaque microbial communities from NIH, USA - visit number 3 of subject 159510762",16
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-ROWE15-D (Nitrogen cycling UWRJ-ROWE15-D, ASSEMBLY_DATE=20140528)",2073
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-I2",12
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - Sample Angelo_122",1684
"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_OM3_M3 (Black Spruce, Ontario site 2_A8_OM3_M3, ASSEMBLY_DATE=20130219)",5792
"Lotic sediment microbial communities from Taif River, Saudi Arabia - Lab simulation  Sediment Column8K5-120",15
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBE03Jun09",367
Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI054_200m_RNA,94
"Freshwater microbial communities from Lake Mendota, WI - 13SEP2012 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 13Sep12, ASSEMBLY_DATE=20140128)",206
"Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage B1F10",34
"Soil microbial communities from the Hubbard Brook experimental Forest, New Hampshire, under manipulated climate change conditions - Hubbard Brook CCASE Soil Metagenome WFT 5",13439
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge MT KNB_C2_LD (Metagenome Metatranscriptome)",49
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 41 (Metagenome Metatranscriptome, Counting Only)",16
"Permafrost microbial communities from permafrost in Bonanza Creek, Alaska - Bog Site B3 (MT-B3-I)",645
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY85 (BBAY85)",539
"Freshwater microbial communities from Trout Bog Lake, WI - Practice 03JUN2009 hypolimnion (Trout Bog Practice 03JUN2009 hypolimnion June 2011 assem)",51
"Bioremediated contaminated groundwater from EPA Superfund site, New Mexico - Sample HSE6-23",9049
"Grasslands soil microbial communities from Nunn, Colorado, USA, that are Nitrogen fertilized - NN1094 (Forest Soil microbial communities with Nitrogen NN1094, ASSEMBLY_DATE=20130213)",880
Marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - KN S2 DCM_B metaT (Metagenome Metatranscriptome),5
"Grasslands soil microbial communities from Nunn, Colorado, USA, that are Nitrogen fertilized -  NN1116 (Forest Soil microbial communities with Nitrogen NN1116, ASSEMBLY_DATE=20130213)",1379
"Switchgrass rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - S7 (KBS Switchgrass S7, ASSEMBLY_DATE=20131024)",17349
"Human stool microbial communities from NIH, USA - visit 2, subject 638754422",13
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Met_20_5_4_1 metaT (Metagenome Metatranscriptome)",9
"Tropical forest soil microbial communities from Luquillo Experimental Forest, Puerto Rico - Sample 64 (Luquillo Experimental Forest Soil Metagenome 64, ASSEMBLY_DATE=20130115)",10
"Freshwater microbial communities from Lake Mendota, WI -  13SEPL2008 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 13Sep08, ASSEMBLY_DATE=20130319)",208
"Populus root and rhizosphere microbial communities from Tennessee, USA - Rhizosphere MetaG P. deltoides SRZDD1",2074
"Freshwater lentic microbial communities from great Laurentian Lakes, MI, USA - Great Lakes metaG ER15MSRF",344
"Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 764811490",6
"Cyanobacterial communities from University of California, Berkeley, USA - Mastigocoleus testarum BC008 + Unknown organism coculture",2
"Corn rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - C1 (KBS Corn C1, ASSEMBLY_DATE=20131024)",12756
"Avena fatua rhizosphere microbial communities - H4_Bulk_Litter_23 (Metagenome Metatranscriptome, Counting Only)",14
"Arabidopsis root microbial communities from the University of North Carolina, USA -  plate scrape CL_Cvi_mTSA (Arabidopsis plate scrape CL_Cvi_mTSA, ASSEMBLY_DATE=20140529)",322
"Methane-oxidizing artificial microbial communities from Washington, USA to study methane cycling - T5-LLNO3 metaT (Metagenome Metatranscriptome)",2
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 765620695",2
Laurentian Great Lakes metaT Sp13.BD.MM110.SD (Metagenome Metatranscriptome),66
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-SCHO22-B (Nitrogen cycling UWRJSCHO22B, ASSEMBLY_DATE=20140803)",2440
"Marine microbial communities from the Deep Atlantic Ocean - MP0204 (Deep seawater metagenome MP0204, ASSEMBLY_DATE=20130220)",549
"Soil and rhizosphere microbial communities from Laval, Canada - mgLMA",1986
"Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage3 60A",69
"Cellulose adapted compost microbial communities from Newby Island Compost Facility, Milpitas, CA, USA -  Passage2 60A (Cellulose adapted consortia Passage2 60A, ASSEMBLY_DATE=20130329)",258
"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M1 PM (Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M1 PM, ASSEMBLY_DATE=20140903)",3914
"Human stool microbial communities from NIH, USA - visit 1, subject 160319967",18
Estuarine microbial communities from the Columbia River estuary - High salinity metaG S.579,484
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G07A4-12 (Nitrogen cycling UWRJG07A412, ASSEMBLY_DATE=20140516)",1428
"Hot spring planktonic communities from Yellowstone Bath Hot Springs, Wyoming, USA",7
"Marine microbial communities from Delaware Bay, New Jersey, USA - GS011",13
"Soil microbial communities from Rifle, Colorado - Rifle Oxygen_injection D2 (Uranium-contaminated soil microbial communities from Rifle, Colorado - Rifle Oxygen_injection D2, ASSEMBLY_DATE=20140821)",3484
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 25_LOW6,70
Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC119_MetaG,2407
"Lotic sediment microbial communities from Taif River, Saudi Arabia - Lab simulation  Sediment Column7K7-90",36
"Hot spring thermophilic microbial communities from Obsidian Pool, Yellowstone National Park, USA - site 3 B9",11
"Hydrocarbon resource environments microbial communities from Canada and USA - Toluene degrading community from Alberta, Canada (Toluene: 454+illumina+illuminaFosmid sequencing assembly)",411
"Marine viral communities from the Deep Pacific Ocean - MSP-97 (Malaspina viral metagenome MSP-97, ASSEMBLY_DATE=20130702)",755
"Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA OM3_M3 (Mediterranean Blodgett CA OM3_M3, ASSEMBLY_DATE=20130227)",5774
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G08A1-10 (Nitrogen cycling UWRJG08A110, ASSEMBLY_DATE=20140518)",1739
Biogas fermentation microbial communities from Germany -  Plant 1 RNA2 (Metagenome Metatranscriptome),132
"Forest soil microbial communities from Davy Crockett National Forest, Groveton, Texas, USA - Texas A ecozone_RefH0_M3 (Texas A ecozone_RefH0_M3, ASSEMBLY_DATE=20130226)",5237
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 85_LOW11,35
"Hot spring microbial communities from Elkhorn Slough, Monterey Bay, USA - CR6B (Metagenome Metatranscriptome)",86
Arabidopsis rhizosphere microbial communities from New York and Illinois - Col Cl nosort,50
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP NP_0600 MetaT (Metagenome Metatranscriptome)",122
"Marine microbial communities from the Deep Atlantic Ocean - MP2633 (Deep seawater metagenome MP2633, ASSEMBLY_DATE=20130221)",520
Coral microbial communities from various places in Mexico - Orbicella 8 T C metatranscriptome (Eukaryote Community Metatranscriptome),2
Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet -  MetaT SI072_200m_B (Metagenome Metatranscriptome),59
"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 159207311",3
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-ROWE17-E (Nitrogen cycling UWRJ-ROWE17-E, ASSEMBLY_DATE=20140528)",2105
"Freshwater sediment microbial communities in response to fracking from Pennsylvania, USA - Straight Creek_MetaT_SC_2012 (Metagenome Metatranscriptome)",1
"Coral microbial communities from Petempiche,Puerto Morelos, Mexico - Orbicella T R C metagenome",916
Enriched soil aggregate microbial communities from Iowa State university to study microbial drivers of carbon cycling - Hofmockel_1000076-3 ISU MetaT (Metagenome Metatranscriptome),15
Freshwater sediment microbial communities in response to fracking from North America - Little Laurel Run_MetaG_LLR_2012,9185
"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_20_10",3155
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_0700_B MetaT (Metagenome Metatranscriptome)",80
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Wat_20_5_8_1 metaT (Metagenome Metatranscriptome)",5
"Arabidopsis rhizosphere microbial communities from the University of North Carolina, USA - metaT NBMF1_16_lowP_mix3_d2 (Metagenome Metatranscriptome, Counting Only)",7
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 10_HOW4,830
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 67 (Metagenome Metatranscriptome)",120
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - LAR L8-1 metaG",12288
"Freshwater microbial communities from Lake Mendota, WI - 02JUN2012 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 02Jun12, ASSEMBLY_DATE=20140125)",191
"Polar desert microbial communities from Antarctic Dry Valleys - UQ889 (Antarctic Dry Valley Metagenome UQ889, ASSEMBLY_DATE=20140406)",876
"Marine microbial communities from the Deep Atlantic Ocean - MP0627 (Deep seawater metagenome MP0627, ASSEMBLY_DATE=20130213)",162
"Subsurface groundwater microbial communities from S. Glens Falls, New York, USA - GMW37 contaminated, 5.8 m (Subsurface groundwater monitoring well GMW37 contaminated, 5.8 m, ASSEMBLY_DATE=20130411)",4454
"Compost microbial communities from Sao Paulo Zoo, Brazil - C4",329
"Marine microbial communities from Deepwater Horizon Oil Spill, sample DHOS BM58 plume (BM58 Illumina assembly)",15
Marine microbial communities from the Southern Atlantic ocean - KN S17 DCM_A metaT (Metagenome Metatranscriptome),6
"Hot spring microbial communities from Elkhorn Slough, Monterey Bay, USA -  CD2A (Elkhorn Slough mat CD2A, July 2012 Assem)",110
"Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Olavius albidus HERON ISLAND.2 (Worm MetaG Olavius albidus HERON ISLAND.2, ASSEMBLY_DATE=20141010)",129
"Arctic peat soil from Barrow, Alaska - Barrow Graham LP Incubations 11-33A (Barrow Graham LP Incubations 11-33A, ASSEMBLY_DATE=20131117)",2193
Worm MetaG Olavius loisae HERON ISLAND.2,4
"Compost microbial communities from Sao Paulo Zoo, Brazil - C5",129
"Marine viral communities from the Pacific Ocean -  ETNP_2_130 (Marine viral communities from the Subarctic Pacific Ocean -  ETNP_2_130, ASSEMBLY_DATE=20140312)",221
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - A-R1 (A-R1)",142
Estuarine microbial communities from the Columbia River estuary - metaG 1563A-3,455
Marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - KN S7 250_A metaT (Metagenome Metatranscriptome),45
"Freshwater lake microbial communities from Lake Huron, USA, analyzing microbial food webs and carbon cycling - Su13.BD.MM15.SN",1530
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Sum_22_N_>0.8_RNA2 (Metagenome Metatranscriptome),52
Marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - KN S21 DCM_B metaT (Metagenome Metatranscriptome),6
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201302SV82,690
"Active sludge microbial communities from Klosterneuburg, Austria - Klosterneuburg WWTP active sludge C45_LANv2",2
Pelagic marine microbial communities from North Sea - COGITO_mtgs_110414,158
Marine microbial communities from the Deep Pacific Ocean - MP1492 (Metagenome Metatranscriptome),4
"Coassembly of  ECP12_OM1, ECP12_OM2, ECP12_OM3",14270
"Deep subsurface microbial communities from Mt. Terri, Switzerland - Autotrophic microbial communities BRH/21 (Deep subsurface microbial communities from Mt. Terri, Switzerland - Autotrophic microbial communities BRH/21, ASSEMBLY_DATE=20140821)",856
"Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA OM1_O1 (Mediterranean Blodgett CA OM1_O1, ASSEMBLY_DATE=20130221)",6548
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 404239096",3
Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI075_LV_DNA_120m,1143
"Ferrous microbial mat communities from One Hundred Spring Plain, Yellowstone National Park, USA - T=74-76 (One Hundred Spring Plain T=74-76, June 2012 Assem)",1
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY82 (BBAY82)",252
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBE13Jul09",331
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP12-MB",7
"Groundwater microbial communities from the Columbia River, Washington, USA - GW-RW S2_10_20",1154
"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY91 (BBAY91)",1662
Arabidopsis rhizosphere microbial communities from New York and Illinois - plate scrape CL_Cvi_mLB_r2,151
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 28_LOW6,615
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G09.2A5-11 (Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-G09.2A5-11, ASSEMBLY_DATE=20140827)",1827
"Serpentinite rock and fluid subsurface biosphere microbial communities - QV1.1_AUG13 (Metagenome Metatranscriptome, Counting Only)",15
"Marine microbial communities from the Deep Indian Ocean - MP0959 (Deep seawater metagenome MP0959, ASSEMBLY_DATE=20130213)",413
"Human stool microbial communities from NIH, USA - visit 2, subject 159611913",10
"Bioreactor microbial community inoculated from Wadden Sea, Germany - 74 days of incubation",14
Laurentian Great Lakes metaT Su13.BD.MM15.SD (Metagenome Metatranscriptome),29
"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS K5-25-3 metaG",19179
"Photobioreactor incubated microbial communities from Hamburg, Germany - Sample 1",80
"Agave microbial communities from California, USA -  At.Am.rz",3168
Marine microbial communities from expanding oxygen minimum zones in the Saanich Inlet - SI048_200m_RNA,225
"Freshwater microbial communities from Lake Mendota, WI - 27AUG2008 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 27Aug08, ASSEMBLY_DATE=20130319)",539
"Groundwater microbial communities from Rifle, Colorado - Rifle CSP2_plank lowO2_0.1 (Rifle CSP2_plank lowO2_0.1, ASSEMBLY_DATE=20131205)",514
"Populus root and rhizosphere microbial communities from Tennessee, USA - Endosphere MetaG P. TD hybrid TD303-3",4448
"Arctic peat soil from Barrow, Alaska - Barrow Graham LP Ref core NGADG0004-312 (Barrow Graham LP Ref core NGADG0004-312, ASSEMBLY_DATE=20140414)",2463
"Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA Ref_M3 (Mediterranean Blodgett CA Ref_M3, June 2012 Assem)",1968
Marine viral communities from the Subarctic Pacific Ocean - 7_ETSP_OMZ_AT15161 metaG,200
Oceanic oxygen minimum zone microbial communities that regulate carbon cycling - Sample ETNP201302PF91A,1207
"Lentic microbial communities from Lake Huron, USA - Laurentian Great Lakes Su13.BD.MLB.SD",1054
Estuarine microbial communities from the Columbia River estuary - Flood tide ETM metaG S.713,3523
"Crenothrix polyspora biofilm communities from Wolfenbuettel waterworks, Germany",12
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 159268001",29
"Grassland soil microbial communities from Hopland, California, USA - Sample H2_Rhizo_31 (Metagenome Metatranscriptome, Counting Only)",3
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 80 (Metagenome Metatranscriptome)",27
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 508703490",3
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 100_LOW12,437
"Groundwater microbial communities from subsurface biofilms in sulfidic aquifier in Frasassi Gorge, Italy, sample from two redox zones- FS08_3 (Targeted Biofilm samples from two redox zones-FS08_3, Oct 2011 Assem)",14087
Marine microbial communities from the Southern Atlantic ocean transect to study dissolved organic matter and carbon cycling - Knorr_S15_td_DCM_ad_63m_LV_B,103
"Marine gutless worms symbiont microbial communities from Max Planck institute for Marine Microbiology, Germany - Olavius crassitunicatus.1",12
Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - DEBay_Spr_20_<0.8_DNA,303
"Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Halanaerobium induction",2
Deep ocean microbial communities from the Global Malaspina Expedition - Deep seawater metaT MP324 (Metagenome Metatranscriptome),120
"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_Ref_M1 (Black Spruce, Ontario site 2_A8_Ref_M1, ASSEMBLY_DATE=20130227)",6917
Marine microbial communities from the Southern Atlantic ocean - KN S17 AAIW_A metaT (Metagenome Metatranscriptome),14
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling",38938
"Active sludge microbial communities from wastewater in Klosterneuburg, Austria - Klosterneuburg WWTP active sludge D40_HAv2",1
"Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M1 S PM (Arabidopsis thaliana rhizosphere microbial communities from the Joint Genome Institute, USA, that affect carbon cycling -  Inoculated plant M1 S PM, ASSEMBLY_DATE=20140930)",6707
Passalidae beetle gut microbial communities from Costa Rica -Larvae (5ML+5BL) (Larvae (5ML+5BL) Oct 2011 assem),5986
"Soil microbial communities from Arlington Agricultural Research Station in Wisconsin, USA - Nitrogen cycling UWRJ-BECK01-D (Nitrogen cycling UWRJBECK01D, ASSEMBLY_DATE=20140805)",2383
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 706846339",13
"Permafrost microbial communities from central Alaska, USA - Permafrost field sample",1
Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC125_MetaG,1178
"Freshwater microbial communities from Trout Bog Lake, WI - 03AUG2009 hypolimnion (Trout Bog Lake August 3 2009 Hypolimnion, new10pct subsample IHUH Merged Reads)",256
"Arctic peat soil from Barrow, Alaska - NGEE Surface sample F53-3 deep-092012 (NGEE Surface sample F53-3 deep-092012, ASSEMBLY_DATE=20130516)",2234
"Freshwater microbial communities from Lake Mendota, WI - 23JUL2008 deep hole epilimnion (Lake Mendota Deep Hole Epilimnion 23Jul08, ASSEMBLY_DATE=20130412)",188
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 61_LOW9,107
"Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_055 (Metagenome Metatranscriptome)",695
"Marine sediment archaeal communities from Santa Barbara Basin, CA, that are anaerobic and methane-oxidizing - ANME Fosmids Round 1 (ANME Fosmids Round 1, Sept 2012 Assem)",8
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_0900_B MetaT (Metagenome Metatranscriptome)",67
"Miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - M4 (KBS Miscanthus M4, ASSEMBLY_DATE=20131021)",19052
Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG Antarct_55,179
Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metatranscriptome 2_LOW4,70
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP17-I4",5
"Arctic peat soil from Barrow, Alaska - Barrow Graham LP Incubations 004-31A (Arctic peat soil from Barrow, Alaska - Barrow Graham LP Incubations 004-31A, ASSEMBLY_DATE=20140723)",1706
"Freshwater lake microbial communities from Lake Huron, USA, analyzing microbial food webs and carbon cycling - Su13.BD.MM110.DCMD (Laurentian Great Lakes metaG Su13.BD.MM110.DCMD, ASSEMBLY_DATE=20140905)",886
"Grasslands soil microbial communities from the Angelo Coastal Reserve, California, USA - 15_R_Wat_40_2_24_2 metaT (Metagenome Metatranscriptome)",12
"Subsurface groundwater microbial communities from S. Glens Falls, New York, USA - GMW37 contaminated, 5.8 m",343
Marine microbial communities from the Deep Indian Ocean - MP1372 (Metagenome Metatranscriptome),91
"Switchgrass rhizosphere bulk soil microbial communities from Kellogg Biological Station, Michigan, USA, with PhiX - S5 (KBS Switchgrass (Bulk soil) S5-S with PhiX, ASSEMBLY_DATE=20131125)",16278
"Fresh water microbial communities from LaBonte Lake, Laramie, Wyoming, sample from peak-bloom 2 (Peak bloom metagenome 2)",91
"Hot spring sediment microbial communities from Great Boiling Spring, Nevada - cellulolytic enrichment CS 77C",115
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP NP MetaG",583
"Human fecal microbial communities from Valencia, Spain, of mother-infant pairs - MIP21-I4",3
"Saline desert soil microbial communities from Kutch, Gujarat, India -  S7",212
"Freshwater microbial communities from Lake Mendota, WI - Practice 15JUN2010 epilimnion (NA, ASSEMBLY_DATE=20130319)",414
"Vadose zone soil and rhizosphere microbial communities from the Eel River Critical Zone Observatory, Northern California to study diel carbon cycling - Rivendell_Oct2014_Saprolite_2_DNA_Rhizosphere_1",1804
"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 158944319",20
"Marine viral communities from the Pacific Ocean -  LP-32 (Line P viral metagenome LP-32, ASSEMBLY_DATE=20130607)",204
Soil microbial communities from sample at FACE Site 3 Nevada Test Site Creosote CO2-,42
"Hypersaline microbial mat communities from Hot Lake, Washington, USA - Section #1 (Hot Lake mat section #1, ASSEMBLY_DATE=20130221)",253
"Hypersaline microbial communities from Antarctic Deep Lake, sample 24m 3.0um",27
"Marine viral communities from the Deep Pacific Ocean - MSP-91 (Malaspina viral metagenome MSP-91, ASSEMBLY_DATE=20130705)",580
"Ammonia-oxidizing marine microbial communities from Monterey Bay, California, USA - C0912_C27A4_80 (Ammonia-oxidizing marine microbial communities from Monterey Bay, California, USA - C0912_C27A4_80, ASSEMBLY_DATE=20140327)",483
Estuarine microbial communities from the Columbia River estuary - metaG 1556A-02,181
"Methane-oxidizing artificial microbial communities from Washington, USA to study methane cycling - T0-HHNH4 metaT (Metagenome Metatranscriptome)",80
"Subaerial biofilm microbial communities from sulfidic caves, Italy, that are extremely acidic - Ramo Sulfureo RS9 (Draft assembly, stringent (mi 99 ml 60 rip))",4
"Combined assembly of Elkhorn Slough mat metaG (MD2A, MD6A, CD2A, CD6A) (Elkhorn Slough mat MD2A Metagenome, ASSEMBLY_DATE=20130423)",12954
"Xyleborus affinis microbial communities from Bern, Switzerland, sample of adult community (Ambrosia beetle adult)",8
"Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 159207311",4
"Wetland sediment microbial communities from St. Louis River estuary, Michigan, under dissolved organic matter induced mercury methylation - T4Bare3Fresh",6820
"Broiler Chicken cecum microbial communities from the University of Birmingham, UK",32
"Peat soil microbial communities from Weissenstadt, Germany - Metatranscriptome 71 (Metagenome Metatranscriptome)",123
"Human stool microbial communities from NIH, USA - visit 1, subject 764588959",29
"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA - YNP5 Bath Lake Vista Annex",16
"Freshwater microbial communities from Lake Mendota, WI - Practice 15JUN2010 epilimnion (Lake Mendota Practice 15JUN2010 epilimnion,new10pct subsampleHZIB MergedReads)",44
Freshwater microbial communities from Lake Fryxell liftoff mats and glacier meltwater in Antarctica - MAT-06,2173
"Soil microbial communities from permafrost in Bonanza Creek, Alaska, sample from Active Layer A5 (Active_layer_A5_velvet1)",7
"Grasslands soil microbial communities from Chapel Hill, North Carolina, USA that are Nitrogen fertilized -NN356 (Forest Soil microbial communities with Nitrogen NN356, ASSEMBLY_DATE=20130213)",579
"Freshwater microbial communities from Crystal Bog, Wisconsin, USA - MA0.5M",763
"Hoatzin crop microbial communities from Cojedes, Venezuela, sample from fiber fraction 12 (re-annotation)",113
"Saline lake microbial communities from Ace Lake, Antarctica - Antarctic Ace Lake Metagenome 02UKJ",462
"Surface soil microbial communities from Centralia Pennsylvania, which are recovering from an underground coalmine fire - Coalmine Soil_Cen06_05102014_R1",8075
"Grasslands soil microbial communities from Nunn, Colorado, USA, that are Nitrogen fertilized - NN1117 (Forest Soil microbial communities with Nitrogen NN1117, ASSEMBLY_DATE=20130213)",596
"Human supragingival plaque microbial communities from NIH, USA - visit 2, subject 764083206",3
"Anoxygenic and chlorotrophic microbial mat microbial communities from Yellowstone National Park, USA - YNP MS_1900_T MetaT (Metagenome Metatranscriptome)",99
Freshwater microbial communities from Lake Fryxell liftoff mats and glacier meltwater in Antarctica - MAT-05,3459
"Forest soil microbial communities from Harvard Forest Long Term Ecological Research site in Petersham, Massachusetts, USA - MetaG HF022 (Microbial Forest Soil BW C4_M, ASSEMBLY_DATE=20130725)",1434
